Qid,Question,A,B,C,D,Answer,Level
1,What is the primary purpose of comments in a programming code?,To execute specific tasks,To enhance code readability and understanding,To declare variables,To format the output,b,Easy
2,Which of the following is not a programming language?,Python,HTML,Java,Excel,d,Easy
3,Which data type is used to store whole numbers in Python?,Float,String,Integer,Boolean,c,Easy
4,What does the acronym "HTML" stand for?,Hyper Text Markup Language,High-level Text Manipulation Language,Hyperlink and Text Management Language,Hypertext Transfer Model Language,a,Easy
5,Which programming language is commonly used for web development?,Python,Java,JavaScript,C++,c,Easy
6,What does the function "print()" do in Python?,Reads user input,Performs mathematical calculations,Displays output to the console,Executes conditional statements,c,Easy
7,Which operator is used for exponentiation in most programming languages?,^,**,//,%,b,Easy
8,What does the acronym "GUI" stand for in programming?,Graphical User Interface,General User Interaction,Global Utility Interface,Graphics Unit Integration,a,Easy
9,What symbol typically represents the assignment operator in programming languages?,=,==,=>,:=,a,Easy
10,Which of the following is not a valid programming construct?,if-else statement,for loop,while function,switch-case statement,c,Easy
11,Which symbol is used for single-line comments in Python?,//,#,--,/* */,b,Easy
12,Which of the following is not a basic data type in Python?,List,String,Integer,Boolean,a,Easy
13,What does the acronym "IDE" stand for in programming?,Integrated Development Environment,Interactive Data Exchange,Internet Development Engine,Instructional Design Environment,a,Easy
14,What is the main advantage of using functions in programming?,To perform repetitive tasks,To declare variables,To create comments,To display output,a,Easy
15,Which symbol is used for the logical AND operator in programming?,&&,||,!,&,a,Easy
16,Which of the following is not a valid variable name in Python?,my_variable,2nd_variable,_variable,variable_2,b,Easy
17,What does the term "syntax error" refer to in programming?,Logical error in the code,Typographical error in the code,Error related to hardware,Error in the algorithm,b,Easy
18,Which of the following is a commonly used programming paradigm?,Alphabetical programming,Sequential programming,Object-oriented programming,Manual programming,c,Easy
19,"Which data structure uses the Last In, First Out (LIFO) principle?",Queue,Stack,Linked List,Array,b,Easy
20,What is the purpose of the "break" statement in loops?,To exit the loop immediately,To skip the current iteration and continue with the next,To print the output,To execute a specific block of code,a,Easy
21,Which of the following is not a comparison operator?,==,!=,++,>,c,Easy
22,What does the term "algorithm" refer to in programming?,A step-by-step procedure for solving a problem,A programming language,A data structure,A variable,a,Easy
23,What does the acronym "SQL" stand for in programming?,Structured Query Language,Sequential Query Language,System Query Language,Simplified Query Language,a,Easy
24,What is the primary purpose of using data structures in programming?,To store and organize data efficiently,To execute mathematical calculations,To display output to the user,To define functions and methods,a,Easy
25,"Which data structure follows the Last In, First Out (LIFO) principle?",Queue,Stack,Linked List,Array,b,Easy
26,"In object-oriented programming, what is an object?",A block of code that performs a specific task,A collection of related data and methods,A conditional statement,A variable,b,Easy
27,Which concept of OOP promotes code reusability and modularity?,Inheritance,Encapsulation,Polymorphism,Abstraction,a,Easy
28,What is the purpose of encapsulation in OOP?,To hide the internal implementation details of an object,To perform mathematical operations,To control access to class members,To define relationships between classes,a,Easy
29,Which data structure uses pointers or references to connect elements?,Array,Linked List,Stack,Queue,b,Easy
30,What is a constructor in OOP?,A method used to destroy objects,A method used to create objects,A special type of variable,A conditional statement,b,Easy
31,Which data structure allows elements to be accessed randomly using an index?,Linked List,Stack,Queue,Array,d,Easy
32,What does the acronym "OOP" stand for?,Ordered Object Protocol,Objective Oriented Programming,Object-Oriented Programming,Operative Object Protocol,c,Easy
33,"In OOP, what is a class?",A specific instance of an object,A blueprint for creating objects,A method used to manipulate data,A data structure for storing elements,b,Easy
34,Which concept of OOP allows a class to inherit properties and behaviors from another class?,Inheritance,Encapsulation,Polymorphism,Abstraction,a,Easy
35,What is the purpose of a destructor in OOP?,To create objects,To initialize object properties,To destroy objects,To access object methods,c,Easy
36,"Which data structure follows the First In, First Out (FIFO) principle?",Stack,Queue,Linked List,Array,b,Easy
37,What does the term "polymorphism" mean in OOP?,The ability of a function to operate on different data types,The ability of a function to perform multiple tasks,The ability of objects to take on different forms,The ability of a function to call itself,c,Easy
38,Which OOP concept involves combining data and methods into a single unit?,Inheritance,Encapsulation,Polymorphism,Abstraction,b,Easy
39,What is the purpose of a method in OOP?,To define the structure of a class,To access class variables,To initialize class objects,To perform operations on class data,d,Easy
40,What does the term "abstraction" mean in OOP?,The process of hiding implementation details and showing only essential features of an object,The process of defining relationships between classes,The process of combining data and methods into a single unit,The process of accessing class variables,a,Easy
41,Which data structure represents a collection of elements with no specific order?,Stack,Queue,Linked List,Set,d,Easy
42,What is the purpose of inheritance in OOP?,To hide implementation details of a class,To combine data and methods into a single unit,To create new classes based on existing classes,To access class variables,c,Easy
43,. What is the main purpose of the "self" parameter in Python class methods?,It represents the class itself,It indicates the beginning of the method,It refers to the object on which the method is called,It specifies the return value of the method,c,Easy
44,Which OOP principle states that objects of different classes can be treated as objects of a common superclass?,Polymorphism,Inheritance,Encapsulation,Abstraction,a,Easy
45,What is the purpose of the "super()" function in Python?,To call the superclass constructor,To create a new object,To access class variables,To define class methods,a,Easy
46,What is Java primarily used for?,Building web applications,Writing system scripts,Creating database queries,Designing graphic interfaces,a,Easy
47,Which keyword is used to define a constant value in Java?,final,const,static,var,a,Easy
48,What does JVM stand for in the context of Java programming?,Java Very Miniature,Java Virtual Machine,Java Virtual Method,Java Version Manager,b,Easy
49,Which of the following is a valid way to declare a variable of type integer in Java?,int x = "5";,int x = 5.0;,int x = 5;,Integer x = 5;,c,Easy
50,Which OOP concept involves grouping related variables and methods into a single unit?,Inheritance,Encapsulation,Polymorphism,Abstraction,b,Easy
51,"Which programming paradigm emphasizes breaking down a problem into smaller, reusable components?",Procedural programming,Object-oriented programming,Functional programming,Event-driven programming,b,Medium
